time,volume,high,low,open,close
2005-06-30 21:00:00+00:00,47521.0,111.790,110.620,110.916,111.790
2005-07-01 21:00:00+00:00,1.0,111.790,111.790,111.790,111.790
2005-07-02 21:00:00+00:00,588.0,111.745,111.635,111.740,111.665
2005-07-03 21:00:00+00:00,37730.0,111.890,111.332,111.665,111.616
2005-07-04 21:00:00+00:00,44689.0,112.126,111.450,111.616,111.740
2005-07-05 21:00:00+00:00,43839.0,112.288,111.458,111.740,112.188
2005-07-06 21:00:00+00:00,48156.0,112.340,111.492,112.188,112.082
2005-07-07 21:00:00+00:00,43204.0,112.598,111.788,112.082,112.180
2005-07-09 21:00:00+00:00,599.0,112.195,112.125,112.190,112.165
2005-07-10 21:00:00+00:00,41028.0,112.260,111.688,112.165,111.808
2005-07-11 21:00:00+00:00,47605.0,111.838,110.758,111.818,110.810
2005-07-12 21:00:00+00:00,43286.0,112.290,110.800,110.810,111.860
2005-07-13 21:00:00+00:00,45661.0,112.378,111.646,111.860,112.358
2005-07-14 21:00:00+00:00,43401.0,112.428,111.766,112.358,112.160
2005-07-15 21:00:00+00:00,1.0,112.160,112.160,112.160,112.160
2005-07-16 21:00:00+00:00,291.0,112.285,112.105,112.130,112.275
2005-07-17 21:00:00+00:00,32477.0,112.360,111.518,112.275,111.988
2005-07-18 21:00:00+00:00,41914.0,112.982,111.848,111.988,112.708
2005-07-19 21:00:00+00:00,50345.0,113.718,112.468,112.704,112.918
2005-07-20 21:00:00+00:00,52297.0,112.918,109.875,112.908,110.266
2005-07-21 21:00:00+00:00,55154.0,111.468,110.186,110.266,111.330
2005-07-22 21:00:00+00:00,3.0,111.340,111.340,111.340,111.340
2005-07-23 21:00:00+00:00,59.0,111.350,111.340,111.350,111.345
2005-07-24 21:00:00+00:00,44548.0,111.988,111.220,111.345,111.488
2005-07-25 21:00:00+00:00,49915.0,112.624,111.368,111.488,112.542
2005-07-26 21:00:00+00:00,47098.0,112.800,112.162,112.542,112.472
2005-07-27 21:00:00+00:00,46616.0,112.872,111.972,112.472,112.118
2005-07-28 21:00:00+00:00,44951.0,112.530,111.954,112.118,112.490
2005-07-30 21:00:00+00:00,451.0,112.585,112.410,112.510,112.560
2005-07-31 21:00:00+00:00,48335.0,112.760,111.730,112.560,112.226
2005-08-01 21:00:00+00:00,47251.0,112.380,111.105,112.226,111.465
2005-08-02 21:00:00+00:00,47626.0,111.936,110.990,111.465,111.090
2005-08-03 21:00:00+00:00,49645.0,111.610,110.770,111.090,111.230
2005-08-04 21:00:00+00:00,47729.0,112.190,111.130,111.230,111.930
2005-08-05 21:00:00+00:00,1.0,111.930,111.930,111.930,111.930
2005-08-06 21:00:00+00:00,200.0,112.075,111.775,111.950,112.075
2005-08-07 21:00:00+00:00,43501.0,112.635,111.560,112.075,112.180
2005-08-08 21:00:00+00:00,45766.0,112.250,111.676,112.180,111.890
2005-08-09 21:00:00+00:00,50728.0,111.990,110.390,111.890,110.650
2005-08-10 21:00:00+00:00,53349.0,110.746,109.580,110.650,109.700
2005-08-11 21:00:00+00:00,47649.0,109.946,109.310,109.700,109.380
2005-08-12 21:00:00+00:00,2.0,109.380,109.380,109.380,109.380
2005-08-13 21:00:00+00:00,281.0,109.600,109.385,109.385,109.475
2005-08-14 21:00:00+00:00,35670.0,109.817,109.213,109.465,109.243
2005-08-15 21:00:00+00:00,43840.0,109.660,109.060,109.243,109.520
2005-08-16 21:00:00+00:00,46168.0,110.085,109.390,109.520,109.930
2005-08-17 21:00:00+00:00,45542.0,110.670,109.750,109.920,110.530
2005-08-18 21:00:00+00:00,40246.0,110.835,110.330,110.530,110.470
2005-08-19 21:00:00+00:00,1.0,110.470,110.470,110.470,110.470
2005-08-20 21:00:00+00:00,436.0,110.470,110.340,110.410,110.430
2005-08-21 21:00:00+00:00,41787.0,110.560,109.413,110.440,109.770
2005-08-22 21:00:00+00:00,45840.0,110.175,109.600,109.770,109.885
2005-08-23 21:00:00+00:00,48672.0,110.740,109.880,109.880,110.210
2005-08-24 21:00:00+00:00,47565.0,110.440,109.760,110.210,110.040
2005-08-25 21:00:00+00:00,47084.0,110.380,109.365,110.040,110.180
2005-08-26 21:00:00+00:00,3.0,110.190,110.170,110.170,110.190
2005-08-27 21:00:00+00:00,211.0,110.215,110.155,110.210,110.185
2005-08-28 21:00:00+00:00,42357.0,110.690,109.850,110.185,110.625
2005-08-29 21:00:00+00:00,47754.0,111.605,110.470,110.625,111.255
2005-08-30 21:00:00+00:00,50371.0,111.785,110.390,111.255,110.635
2005-08-31 21:00:00+00:00,47969.0,110.940,109.616,110.635,109.820
