time,volume,high,low,open,close
2005-06-24 21:00:00+00:00,230140.0,111.790,108.960,109.050,111.790
2005-07-01 21:00:00+00:00,218207.0,112.598,111.332,111.790,112.180
2005-07-08 21:00:00+00:00,221580.0,112.428,110.758,112.190,112.160
2005-07-15 21:00:00+00:00,232479.0,113.718,109.875,112.160,111.330
2005-07-22 21:00:00+00:00,233190.0,112.872,111.220,111.340,112.490
2005-07-29 21:00:00+00:00,241037.0,112.760,110.770,112.510,111.930
2005-08-05 21:00:00+00:00,241194.0,112.635,109.310,111.930,109.380
2005-08-12 21:00:00+00:00,211749.0,110.835,109.060,109.380,110.470
2005-08-19 21:00:00+00:00,231385.0,110.740,109.365,110.470,110.180
2005-08-26 21:00:00+00:00,230195.0,111.785,109.210,110.170,109.820
2005-09-02 21:00:00+00:00,229392.0,110.766,108.780,109.820,109.690
2005-09-09 21:00:00+00:00,234481.0,111.460,108.985,109.700,111.350
2005-09-16 21:00:00+00:00,216011.0,112.520,110.975,111.350,112.500
2005-09-23 21:00:00+00:00,228702.0,113.685,112.102,112.500,113.500
2005-09-30 21:00:00+00:00,232446.0,114.400,113.030,113.480,113.820
2005-10-07 21:00:00+00:00,211105.0,115.085,113.565,113.850,114.080
2005-10-14 21:00:00+00:00,217835.0,115.980,113.770,114.080,115.910
2005-10-21 21:00:00+00:00,227881.0,116.224,114.630,115.910,115.690
2005-10-28 21:00:00+00:00,210884.0,118.340,115.530,115.690,118.330
2005-11-04 22:00:00+00:00,216813.0,118.390,116.880,118.330,117.990
2005-11-11 22:00:00+00:00,217621.0,119.560,117.860,117.990,119.100
2005-11-18 22:00:00+00:00,199236.0,119.680,118.230,119.110,119.620
2005-11-25 22:00:00+00:00,216095.0,121.230,118.350,119.630,120.620
2005-12-02 22:00:00+00:00,218346.0,121.390,120.000,120.620,120.670
2005-12-09 22:00:00+00:00,254663.0,121.070,115.625,120.670,115.670
2005-12-16 22:00:00+00:00,206883.0,117.646,115.530,115.670,116.245
2005-12-23 22:00:00+00:00,139966.0,118.180,115.990,116.245,117.750
2005-12-30 22:00:00+00:00,182050.0,118.055,114.230,117.770,114.470
2006-01-06 22:00:00+00:00,220424.0,114.890,113.412,114.470,114.170
2006-01-13 22:00:00+00:00,83028.0,115.940,113.790,114.280,115.300
2006-01-20 22:00:00+00:00,59307.0,117.430,114.160,115.300,117.320
2006-01-27 22:00:00+00:00,54620.0,119.390,116.710,117.350,118.930
2006-02-03 22:00:00+00:00,56511.0,119.180,116.900,118.930,117.860
2006-02-10 22:00:00+00:00,53556.0,118.860,116.770,117.880,118.065
2006-02-17 22:00:00+00:00,51223.0,119.000,116.440,118.065,116.900
2006-02-24 22:00:00+00:00,56837.0,117.150,115.460,116.900,116.415
2006-03-03 22:00:00+00:00,56990.0,119.150,116.050,116.396,119.020
2006-03-10 22:00:00+00:00,54951.0,119.200,115.705,119.030,115.930
2006-03-17 22:00:00+00:00,55005.0,118.495,115.515,115.925,117.480
2006-03-24 22:00:00+00:00,58321.0,118.220,116.270,117.465,117.780
2006-03-31 22:00:00+00:00,61680.0,118.795,116.692,117.705,118.300
2006-04-07 21:00:00+00:00,45377.0,118.900,117.840,118.300,118.685
2006-04-14 21:00:00+00:00,56148.0,118.750,116.560,118.705,116.600
2006-04-21 21:00:00+00:00,62857.0,116.660,113.670,116.620,113.830
2006-04-28 21:00:00+00:00,57123.0,114.170,112.260,113.830,112.580
2006-05-05 21:00:00+00:00,96044.0,112.590,109.310,112.580,110.030
2006-05-12 21:00:00+00:00,135555.0,112.235,108.990,110.030,111.680
2006-05-19 21:00:00+00:00,130569.0,112.970,110.960,111.690,112.665
2006-05-26 21:00:00+00:00,104189.0,113.375,111.332,112.660,111.735
2006-06-02 21:00:00+00:00,106400.0,114.732,111.435,111.720,113.975
2006-06-09 21:00:00+00:00,99141.0,115.450,113.959,113.980,115.195
2006-06-16 21:00:00+00:00,87268.0,116.595,114.386,115.130,116.550
2006-06-23 21:00:00+00:00,89121.0,116.705,114.172,116.540,114.440
2006-06-30 21:00:00+00:00,92350.0,115.785,113.832,114.405,114.020
2006-07-07 21:00:00+00:00,93320.0,116.387,113.460,114.030,116.110
2006-07-14 21:00:00+00:00,87231.0,117.875,115.815,116.152,116.166
2006-07-21 21:00:00+00:00,93039.0,117.380,114.599,116.080,114.648
2006-07-28 21:00:00+00:00,91982.0,115.558,113.996,114.651,114.444
2006-08-04 21:00:00+00:00,88309.0,116.435,114.165,114.414,116.305
2006-08-11 21:00:00+00:00,75028.0,116.750,115.195,116.307,115.810
2006-08-18 21:00:00+00:00,75360.0,117.397,115.355,115.790,117.289
2006-08-25 21:00:00+00:00,78986.0,117.485,116.525,117.195,117.090
2006-09-01 21:00:00+00:00,84559.0,117.130,115.569,117.100,116.940
2006-09-08 21:00:00+00:00,82514.0,118.145,116.612,116.940,117.560
2006-09-15 21:00:00+00:00,87190.0,118.283,116.083,117.543,116.555
2006-09-22 21:00:00+00:00,82761.0,118.195,116.129,116.525,118.175
2006-09-29 21:00:00+00:00,77292.0,119.098,117.386,118.120,119.018
2006-10-06 21:00:00+00:00,68319.0,119.875,118.838,118.998,119.630
2006-10-13 21:00:00+00:00,65272.0,119.785,118.060,119.617,118.740
2006-10-20 21:00:00+00:00,63361.0,119.650,117.160,118.730,117.606
2006-10-27 21:00:00+00:00,68795.0,118.187,116.570,117.540,118.010
2006-11-03 22:00:00+00:00,62216.0,118.593,117.190,118.040,117.630
2006-11-10 22:00:00+00:00,75310.0,118.462,117.145,117.600,117.755
2006-11-17 22:00:00+00:00,60935.0,118.255,115.590,117.775,115.885
2006-11-24 22:00:00+00:00,89178.0,116.551,114.987,115.890,115.440
2006-12-01 22:00:00+00:00,82471.0,116.490,114.434,115.385,116.330
2006-12-08 22:00:00+00:00,94909.0,118.325,116.158,116.330,118.175
2006-12-15 22:00:00+00:00,88925.0,118.958,117.707,118.175,118.862
2006-12-22 22:00:00+00:00,64081.0,119.218,118.288,118.817,119.066
2006-12-29 22:00:00+00:00,75464.0,119.681,117.982,119.056,118.630
2007-01-05 22:00:00+00:00,95256.0,120.733,118.115,118.635,120.325
2007-01-12 22:00:00+00:00,87298.0,121.592,120.065,120.355,121.200
2007-01-19 22:00:00+00:00,102921.0,121.790,120.205,121.200,121.570
2007-01-26 22:00:00+00:00,103780.0,122.194,120.114,121.540,121.140
